Data;PIB
1996 T1;189323,299147722
1996 T2;204610,728455459
1996 T3;221513,234374998
1996 T4;239316,345834219
1997 T1;219117,049382432
1997 T2;232889,54419814
1997 T3;246178,481096753
1997 T4;253904,121411486
1998 T1;235700,701907326
1998 T2;251935,878971094
1998 T3;258043,285625774
1998 T4;256671,152709285
1999 T1;250667,993916028
1999 T2;268708,930951754
1999 T3;274125,555876932
1999 T4;294207,975309279
2000 T1;276926,906210336
2000 T2;292788,557983805
2000 T3;308895,799906332
2000 T4;320480,806839737
2001 T1;312469,819931944
2001 T2;323723,55976888
2001 T3;332524,445736432
2001 T4;347037,642393674
2002 T1;342296,667234209
2002 T2;367362,824618352
2002 T3;379794,531635396
2002 T4;399333,231670411
2003 T1;397241,638848818
2003 T2;418987,336935928
2003 T3;439349,781582791
2003 T4;462371,639056953
2004 T1;444783,488160836
2004 T2;481794,960503725
2004 T3;505252,3183942
2004 T4;525920,445903801
2005 T1;499710,362640535
2005 T2;535557,417874449
2005 T3;552859,155163273
2005 T4;582457,567797513
2006 T1;554270,465530697
2006 T2;581976,856162226
2006 T3;617847,705849146
2006 T4;655354,894000525
2007 T1;631423,004972747
2007 T2;670654,703331924
2007 T3;691845,923751466
2007 T4;726339,305505151
2008 T1;712055,249054408
2008 T2;769525,159595612
2008 T3;812602,575703745
2008 T4;815620,104595452
2009 T1;756127,089309912
2009 T2;803577,494036852
2009 T3;852843,249147669
2009 T4;920491,522686542
2010 T1;886397,393070716
2010 T2;944145,040998713
2010 T3;997934,740253792
2010 T4;1057369,82551362
2011 T1;1016530,64549858
2011 T2;1086712,22810301
2011 T3;1112334,22383509
2011 T4;1160804,90241709
2012 T1;1129474,13972528
2012 T2;1183125,62901505
2012 T3;1230448,82840663
2012 T4;1271711,40248752
2013 T1;1241613,64550215
2013 T2;1322579,98287905
2013 T3;1354134,11120413
2013 T4;1413291,26004176
2014 T1;1385981,06478267
2014 T2;1422321,78812337
2014 T3;1462125,45332639
2014 T4;1508524,69377617
2015 T1;1456658,6555715
2015 T2;1479969,80579119
2015 T3;1508228,25024033
2015 T4;1550930,28812328
2016 T1;1500298,88284847
2016 T2;1559050,15485687
2016 T3;1577170,48922835
2016 T4;1632808,47372549
2017 T1;1585673,41194281
2017 T2;1630729,57308596
2017 T3;1648635,25565998
2017 T4;1720440,75945103
2018 T1;1682083,06323187
2018 T2;1734098,99028944
2018 T3;1767855,70605069
2018 T4;1820103,24032136
2019 T1;1757553,52398809
2019 T2;1826761,19563746
2019 T3;1880610,24157738
2019 T4;1924206,03825036
2020 T1;1868094,52863486
2020 T2;1752723,60825714
2020 T3;1929323,43699416
2020 T4;2059455,42668966
2021 T1;2156670,09571521
2021 T2;2203638,78911468
2021 T3;2295851,05058129
2021 T4;2355982,0638733
2022 T1;2319528,13919314
2022 T2;2517481,44857676
2022 T3;2601181,95127164
2022 T4;2641485,14013448
2023 T1;2581018,0433171
2023 T2;2727579,8951039
2023 T3;2769445,41435711
2023 T4;2865301,31512694
2024 T1;2753199,78323343
2024 T2;2921229,41738726
2024 T3;2989913,35478786
2024 T4;3080367,48641012
2025 T1;3019578,85041999
